,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
58,0.0,0.0,20.0,0.0,1.0,0.0,946.513530400867,9.9,946.5135304008671
59,0.0,10.0,10.0,0.0,1.0,507.5577,1454.07123040087,10.4,1454.071230400867
60,0.0,0.0,10.0,0.0,1.0,0.0,1454.07123040087,10.4,1454.071230400867
61,0.0,0.0,10.0,0.0,1.0,0.0,1454.07123040087,10.4,1454.071230400867
62,0.0,0.0,10.0,0.0,1.0,0.0,1454.07123040087,10.4,1454.071230400867
63,0.0,0.0,10.0,0.0,1.0,0.0,1454.07123040087,10.4,1454.071230400867
64,0.0,0.0,10.0,0.0,1.0,0.0,1454.07123040087,10.4,1454.071230400867
65,10.0,0.0,20.0,1.0,0.0,-482.123510292524,971.947720108343,10.9,971.9477201083431
66,0.0,0.0,20.0,0.0,1.0,0.0,971.947720108343,10.9,971.9477201083431
67,0.0,10.0,10.0,0.0,1.0,711.633,1683.58072010834,11.4,1683.580720108343
68,0.0,6.0,4.0,0.0,1.0,363.79122,2047.37194010834,11.7,2047.371940108343
69,0.0,0.0,4.0,0.0,1.0,0.0,2047.37194010834,11.7,2047.371940108343
70,0.0,0.0,4.0,0.0,1.0,0.0,2047.37194010834,11.7,2047.371940108343
71,0.0,0.0,4.0,0.0,1.0,0.0,2047.37194010834,11.7,2047.371940108343
72,10.0,0.0,14.0,1.0,0.0,-427.193932827736,1620.17800728061,12.2,1620.178007280607
73,6.0,0.0,20.0,1.0,0.0,-273.022751895991,1347.15525538462,12.5,1347.155255384616
74,0.0,0.0,20.0,0.0,1.0,0.0,1347.15525538462,12.5,1347.155255384616
75,0.0,0.0,20.0,0.0,1.0,0.0,1347.15525538462,12.5,1347.155255384616
76,0.0,0.0,20.0,0.0,1.0,0.0,1347.15525538462,12.5,1347.155255384616
77,0.0,0.0,20.0,0.0,1.0,0.0,1347.15525538462,12.5,1347.155255384616
78,0.0,0.0,20.0,1.0,0.0,0.0,1347.15525538462,12.5,1347.155255384616
79,0.0,0.0,20.0,0.0,1.0,0.0,1347.15525538462,12.5,1347.155255384616
80,0.0,0.0,20.0,0.0,1.0,0.0,1347.15525538462,12.5,1347.155255384616
81,0.0,0.0,20.0,1.0,0.0,0.0,1347.15525538462,12.5,1347.155255384616
82,0.0,0.0,20.0,0.0,1.0,0.0,1347.15525538462,12.5,1347.155255384616
83,0.0,6.0,14.0,0.0,1.0,402.44646,1749.60171538462,12.8,1749.601715384616
84,0.0,10.0,4.0,0.0,1.0,686.8966,2436.49831538462,13.3,2436.498315384616
85,0.0,0.0,4.0,0.0,1.0,0.0,2436.49831538462,13.3,2436.498315384616
86,0.0,0.0,4.0,0.0,1.0,0.0,2436.49831538462,13.3,2436.498315384616
87,10.0,0.0,14.0,1.0,0.0,-477.789815817985,1958.70849956663,13.8,1958.708499566631
88,0.0,0.0,14.0,0.0,1.0,0.0,1958.70849956663,13.8,1958.708499566631
89,6.0,0.0,20.0,1.0,0.0,-289.469122426869,1669.23937713976,14.1,1669.239377139762
